21/17 11:06:42 | m_IO.set_nationality | add new nationality : France
21/17 11:07:41 | m_IO.set_nationality | add new nationality : France
21/17 11:27:14 | m_IO.set_nationality | add new nationality : France
21/17 11:31:42 | m_IO.set_nationality | add new nationality : France
21/17 11:33:26 | m_IO.set_nationality | add new nationality : France
21/17 11:43:47 | m_IO.set_nationality | add new nationality : USA
21/17 11:45:01 | m_IO.set_nationality | add new nationality : USA
21/17 11:51:42 | m_IO.set_nationality | add new nationality : USA
21/17 13:13:57 | m_IO.get_nationalities | Get directors
21/17 13:20:02 | m_IO.get_nationalities | Get directors
21/17 13:37:28 | m_IO.set_nationality | add new nationality : Poland
21/17 13:37:28 | m_IO.get_nationalities | Get nationalities
21/17 13:38:04 | m_IO.set_nationality | add new nationality : France
21/17 13:38:04 | m_IO.get_nationalities | Get nationalities
21/17 13:42:14 | m_IO.get_nationalities | Get nationalities
21/17 13:42:25 | m_IO.get_nationalities | Get directors
21/17 13:46:52 | m_IO.get_nationalities | Get nationalities
21/17 13:47:31 | m_IO.get_nationalities | Get directors
21/17 14:03:24 | m_IO.get_nationalities | Get nationalities
21/17 14:05:17 | m_IO.get_nationalities | Get nationalities
21/17 14:05:50 | m_IO.get_nationalities | Get directors
21/17 14:08:09 | m_IO.get_nationalities | Get nationalities
21/17 14:08:58 | m_IO.get_nationalities | Get directors
21/17 14:09:45 | m_IO.get_nationalities | Get nationalities
21/17 14:12:33 | m_IO.get_nationalities | Get nationalities
21/17 14:12:59 | m_IO.get_nationalities | Get directors
21/17 14:13:48 | m_IO.get_nationalities | Get nationalities
21/17 14:13:50 | m_IO.get_nationalities | Get directors
21/17 14:14:25 | m_IO.get_nationalities | Get nationalities
21/17 14:14:26 | m_IO.get_nationalities | Get directors
21/17 14:15:14 | m_IO.get_nationalities | Get nationalities
21/17 14:15:15 | m_IO.get_nationalities | Get directors
21/17 14:21:29 | m_IO.get_nationalities | Get nationalities
21/17 14:21:31 | m_IO.get_nationalities | Get directors
21/17 14:29:07 | m_IO.get_nationalities | Get nationalities
21/17 14:29:09 | m_IO.get_nationalities | Get directors
21/17 14:30:42 | m_IO.get_nationalities | Get nationalities
21/17 14:30:43 | m_IO.get_nationalities | Get directors
21/17 14:32:02 | m_IO.get_nationalities | Get nationalities
21/17 14:32:04 | m_IO.get_nationalities | Get directors
21/17 14:33:51 | m_IO.get_nationalities | Get nationalities
21/17 14:33:53 | m_IO.get_nationalities | Get directors
21/17 14:35:34 | m_IO.get_nationalities | Get nationalities
21/17 14:35:35 | m_IO.get_nationalities | Get directors
21/17 14:36:53 | m_IO.get_nationalities | Get nationalities
21/17 14:36:55 | m_IO.get_nationalities | Get directors
21/17 14:37:40 | m_IO.get_nationalities | Get nationalities
21/17 14:37:42 | m_IO.get_nationalities | Get directors
21/17 14:39:23 | m_IO.get_nationalities | Get nationalities
21/17 14:39:24 | m_IO.get_nationalities | Get directors
21/17 14:39:46 | m_IO.get_nationalities | Get nationalities
21/17 14:39:47 | m_IO.get_nationalities | Get directors
21/17 14:41:28 | m_IO.get_nationalities | Get nationalities
21/17 14:41:29 | m_IO.get_nationalities | Get directors
21/17 14:41:48 | m_IO.get_nationalities | Get nationalities
21/17 14:41:49 | m_IO.get_nationalities | Get directors
21/17 14:45:05 | m_IO.get_nationalities | Get nationalities
21/17 14:45:07 | m_IO.get_nationalities | Get directors
21/17 14:46:15 | m_IO.get_nationalities | Get nationalities
21/17 14:46:17 | m_IO.get_nationalities | Get directors
21/17 14:47:05 | m_IO.get_nationalities | Get nationalities
21/17 14:47:06 | m_IO.get_nationalities | Get directors
21/17 14:49:25 | m_IO.get_nationalities | Get nationalities
21/17 14:49:27 | m_IO.get_nationalities | Get directors
21/17 14:50:41 | m_IO.get_nationalities | Get nationalities
21/17 14:50:42 | m_IO.get_nationalities | Get directors
21/17 14:52:42 | m_IO.get_nationalities | Get nationalities
21/17 14:52:42 | m_IO.get_nationalities | Get directors
21/17 14:54:09 | m_IO.get_nationalities | Get nationalities
21/17 14:54:10 | m_IO.get_nationalities | Get directors
21/17 14:57:33 | m_IO.get_nationalities | Get nationalities
21/17 14:57:34 | m_IO.get_nationalities | Get directors
21/17 14:58:02 | m_IO.get_nationalities | Get nationalities
21/17 14:58:04 | m_IO.get_nationalities | Get directors
21/17 14:58:17 | m_IO.get_nationalities | Get nationalities
21/17 14:58:18 | m_IO.get_nationalities | Get directors
21/17 14:58:32 | m_IO.get_nationalities | Get nationalities
21/17 14:58:33 | m_IO.get_nationalities | Get directors
21/17 14:59:09 | m_IO.get_nationalities | Get nationalities
21/17 14:59:09 | m_IO.get_nationalities | Get directors
21/17 15:03:03 | m_IO.get_nationalities | Get nationalities
21/17 15:03:05 | m_IO.get_nationalities | Get directors
21/17 15:03:52 | m_IO.get_nationalities | Get nationalities
21/17 15:03:53 | m_IO.get_nationalities | Get directors
21/17 15:04:24 | m_IO.get_nationalities | Get nationalities
21/17 15:04:25 | m_IO.get_nationalities | Get directors
21/17 15:08:25 | m_IO.get_nationalities | Get nationalities
21/17 15:08:27 | m_IO.get_nationalities | Get directors
21/17 15:14:13 | m_IO.get_nationalities | Get nationalities
21/17 15:14:15 | m_IO.get_nationalities | Get directors
21/17 15:15:04 | m_IO.get_nationalities | Get nationalities
21/17 15:15:05 | m_IO.get_nationalities | Get directors
21/17 15:15:25 | m_IO.get_nationalities | Get nationalities
21/17 15:15:37 | m_IO.get_nationalities | Get directors
21/17 15:16:45 | m_IO.get_nationalities | Get nationalities
21/17 15:16:46 | m_IO.get_nationalities | Get directors
21/17 15:17:40 | m_IO.get_nationalities | Get nationalities
